id_zona,latitude,longitude,data,precipitacao_mm,temperatura_c,umidade_percentual,densidade_populacional,altitude_metros,declividade_graus,distancia_agua_km,tipo_de_solo,uso_do_solo,nivel_acessibilidade,frequencia_sismos,tipo_evento,ocorrenca,nivel_de_risco,mes,estacao_do_ano,regiao
Z_0003_SUD,-24.49836,-49.77282,2024-04-15 00:00:00,163.4,19.8,86.3,2379.6,184.7,38.7,8.1,rochoso,urbano,alta,0,deslizamento,0,BAIXO,4,outono,Sudeste_Montanhoso_Litoraneo
Z_0004_NOR,-1.05338,-64.36535,2023-10-29 00:00:00,206.4,33.7,80.1,691.4,42.7,4.5,47.5,arenoso,rural,media,0,inundação,0,MÉDIO,10,primavera,Norte_Amazonia
Z_0005_NOR,-6.26763,-65.79076,2024-02-04 00:00:00,351.7,25.4,72.7,32.7,339.9,0.8,59.6,organico,urbano,alta,0,nenhum,0,MUITO BAIXO,2,verao,Norte_Amazonia
Z_0006_NOR,-17.21146,-45.04766,2024-01-12 00:00:00,64.7,20.3,55.7,299.9,130.9,2.0,14.0,argiloso_seco,rural,media,0,nenhum,0,MUITO BAIXO,1,verao,Nordeste_Sertao
Z_0007_SUD,-23.59146,-39.78153,2024-02-09 00:00:00,131.8,23.4,83.8,3583.8,1127.5,52.6,15.1,rochoso,rural,media,0,vendaval,0,BAIXO,2,verao,Sudeste_Montanhoso_Litoraneo
Z_0008_SUL,-23.08979,-49.25778,2024-09-03 00:00:00,233.6,23.4,77.9,1451.3,823.6,12.5,11.0,arenoso_argiloso,pastagem,baixa,0,seca,0,BAIXO,9,primavera,Sul_Campos_Planalto
Z_0009_NOR,-2.52513,-38.60528,2023-08-19 00:00:00,22.4,35.4,25.183994055005094,396.8,902.7,28.6,0.9,arenoso,rural,baixa,1,incêndio,0,MÉDIO,8,inverno,Nordeste_Sertao
Z_0010_CEN,-13.47325,-54.40066,2023-01-14 00:00:00,176.7,25.2,76.5,378.9,901.5,17.0,26.4,argiloso,pastagem,media,0,nenhum,0,MUITO BAIXO,1,verao,CentroOeste_Cerrado_Pantanal
Z_0011_NOR,-3.54167,-40.90434,2023-03-09 00:00:00,63.0,40.3,27.6,363.6,611.2,1.8,14.9,argiloso_seco,rural,alta,0,nenhum,0,MUITO BAIXO,3,outono,Nordeste_Sertao
Z_0012_CEN,-7.7494,-59.00785,2024-06-03 00:00:00,29.6,36.2,60.82960535557233,325.1,601.0,10.4,27.7,latossolo,pastagem,alta,0,inundação,0,BAIXO,6,inverno,CentroOeste_Cerrado_Pantanal
Z_0013_SUL,-26.18237,-50.75155,2023-11-27 00:00:00,188.1,29.8,49.3,3865.6,1493.2,32.4,11.0,arenoso_argiloso,urbano,media,0,nenhum,0,MUITO BAIXO,11,primavera,Sul_Campos_Planalto
Z_0014_NOR,-0.41952,-57.11632,2023-04-09 00:00:00,393.3,27.1,76.5,4951.3,407.7,2.4,16.7,arenoso,rural,baixa,0,inundação,0,BAIXO,4,outono,Norte_Amazonia
Z_0015_SUL,-31.13569,-54.96999,2023-06-21 00:00:00,150.0,12.8,26.506433610372113,1173.2,473.7,12.8,12.8,arenoso_argiloso,urbano,media,0,vendaval,0,BAIXO,6,inverno,Sul_Campos_Planalto
Z_0016_SUD,-21.12368,-45.47963,2024-01-14 00:00:00,257.6,24.1,53.2,4038.0,1692.2,53.9,7.1,rochoso,urbano,alta,0,deslizamento,0,BAIXO,1,verao,Sudeste_Montanhoso_Litoraneo
Z_0017_SUL,-32.07709,-49.45066,2024-12-14 00:00:00,114.5,15.2,54.2,2244.4,431.6,23.7,7.0,arenoso_argiloso,pastagem,baixa,0,seca,0,BAIXO,12,verao,Sul_Campos_Planalto
Z_0018_NOR,-6.37824,-57.76005,2024-02-28 00:00:00,385.0,30.0,89.7,4096.2,403.6,9.5,13.2,organico,floresta,media,0,vendaval,0,BAIXO,2,verao,Norte_Amazonia
Z_0019_SUD,-23.87473,-41.33092,2024-02-07 00:00:00,272.2,30.1,94.3,901.6,1411.9,49.2,15.0,organico,urbano,alta,0,deslizamento,1,ALTO,2,verao,Sudeste_Montanhoso_Litoraneo
Z_0020_NOR,-7.59658,-42.89393,2024-03-23 00:00:00,94.5,23.2,37.8,92.7,745.1,6.9,17.9,arenoso,rural,baixa,0,incêndio,0,BAIXO,3,outono,Nordeste_Sertao
Z_0021_NOR,-15.37076,-39.92035,2024-05-17 00:00:00,87.4,26.8,41.3,438.8,735.8,24.6,0.5,rochoso,pastagem,baixa,0,seca,0,BAIXO,5,outono,Nordeste_Sertao
Z_0022_SUD,-20.13465,-43.62339,2023-07-18 00:00:00,151.5,30.2,51.427903641435044,1506.4,2256.5,36.4,9.6,rochoso,rural,alta,0,nenhum,0,MUITO BAIXO,7,inverno,Sudeste_Montanhoso_Litoraneo
Z_0023_NOR,-2.95131,-48.08628,2023-12-06 00:00:00,240.3,24.0,92.8,2274.5,486.6,9.0,74.6,arenoso,area_umida,baixa,0,inundação,0,MÉDIO,12,verao,Norte_Amazonia
Z_0024_SUD,-20.80639,-40.85386,2024-01-10 00:00:00,331.6,22.0,69.4,384.3,2039.0,5.9,12.4,organico,urbano,alta,0,nenhum,0,MUITO BAIXO,1,verao,Sudeste_Montanhoso_Litoraneo
Z_0025_SUD,-19.44207,-46.51317,2023-05-19 00:00:00,198.1,25.7,77.7,226.9,597.9,33.0,8.9,organico,urbano,alta,0,deslizamento,0,MÉDIO,5,outono,Sudeste_Montanhoso_Litoraneo
Z_0026_NOR,-1.86103,-67.6172,2024-04-16 00:00:00,350.1,23.3,100.0,664.5,153.5,6.0,49.9,argiloso,urbano,media,0,vendaval,0,BAIXO,4,outono,Norte_Amazonia
Z_0027_SUL,-32.34941,-50.38037,2024-01-25 00:00:00,243.5,14.6,81.8,1702.0,431.3,18.2,18.7,argiloso,pastagem,baixa,0,nenhum,0,MUITO BAIXO,1,verao,Sul_Campos_Planalto
Z_0028_NOR,4.16023,-48.64878,2023-09-04 00:00:00,205.2,34.8,95.1,452.0,367.9,17.9,29.8,organico,floresta,baixa,0,vendaval,0,BAIXO,9,primavera,Norte_Amazonia
Z_0029_NOR,-12.55091,-42.49934,2024-05-17 00:00:00,78.2,35.0,50.4,44.9,429.4,25.4,1.1,argiloso_seco,rural,alta,0,nenhum,0,MUITO BAIXO,5,outono,Nordeste_Sertao
Z_0030_NOR,-9.27039,-44.92901,2024-12-20 00:00:00,14.9,28.1,34.9,411.1,744.5,17.0,17.8,arenoso,rural,alta,0,nenhum,0,MUITO BAIXO,12,verao,Nordeste_Sertao
Z_0031_CEN,-10.43454,-49.20685,2023-06-10 00:00:00,10.1,29.9,51.528843960910436,446.1,411.3,7.3,14.3,argiloso,pastagem,baixa,0,nenhum,0,MUITO BAIXO,6,inverno,CentroOeste_Cerrado_Pantanal
Z_0032_NOR,-3.55524,-55.53803,2024-09-02 00:00:00,244.3,22.5,97.6,3162.8,303.2,5.0,44.5,arenoso,area_umida,baixa,0,inundação,0,MÉDIO,9,primavera,Norte_Amazonia
Z_0033_CEN,-20.70697,-45.67534,2024-10-31 00:00:00,125.6,34.3,78.1,146.3,184.3,0.6,12.0,arenoso,floresta,baixa,0,seca,0,BAIXO,10,primavera,CentroOeste_Cerrado_Pantanal
Z_0034_NOR,-4.75323,-42.62675,2024-04-11 00:00:00,83.3,36.1,25.8,157.1,507.7,28.6,15.6,arenoso,rural,alta,0,incêndio,0,BAIXO,4,outono,Nordeste_Sertao
