idRelatorio,dataHora,latitude,longitude,tipoFonte,tipoObservacao,nivelGravidade,qtdAtingidos,danoInfraestrutura,acessibilidade,notasAdicionais,classificacaoRisco
2,2025-06-01 17:16:45,1.278283,-68.0108,Equipe de Campo,Deslizamento,Alta,133,Leve,Fácil,Deslizamento atingiu parte de uma residência.,Suporte Necessário
3,2025-05-10 00:04:58,-28.374458,-49.539387,App Usuário,Deslizamento,Baixa,56,Severo,Fácil,"Encosta cedeu parcialmente, risco de novos deslizamentos.",Suporte Necessário
4,2025-05-11 04:49:33,-28.929635,-51.679829,App Usuário,Pessoas Isoladas,Crítica,134,Severo,Difícil,Comunidade sem acesso após queda de ponte.,Risco Imediato
5,2025-05-27 21:32:39,2.970951,-61.051241,App Usuário,Estrutura Danificada,Baixa,42,Moderado,Fácil,Ponte apresenta rachaduras na base.,Monitorar
6,2025-05-10 18:44:30,-2.62843,-43.64127,App Usuário,Incêndio,Crítica,152,Moderado,Difícil,Incêndio em vegetação próximo a área urbana.,Risco Imediato
7,2025-06-02 04:43:07,-2.926449,-42.441275,Drone,Estrutura Danificada,Alta,164,Severo,Bloqueado,Queda de poste afeta fornecimento elétrico.,Risco Imediato
8,2025-05-16 18:14:09,-0.401144,-60.040702,Equipe de Campo,Estrutura Danificada,Crítica,80,Severo,Bloqueado,Ponte apresenta rachaduras na base.,Risco Imediato
9,2025-06-03 14:02:12,-4.873945,-41.396508,App Usuário,Alagamento,Média,42,Nenhum,Fácil,Região com nível de água acima da calçada.,Monitorar
10,2025-06-03 20:29:02,-6.060499,-43.214826,Equipe de Campo,Estrutura Danificada,Alta,70,Nenhum,Bloqueado,Prédio com estrutura comprometida após tremor.,Atenção Urgente
11,2025-05-30 01:18:05,-20.939184,-41.527716,Drone,Pessoas Isoladas,Média,170,Moderado,Bloqueado,Barreiras naturais impedem saída de moradores.,Atenção Urgente
12,2025-05-19 05:06:50,3.451762,-63.794048,App Usuário,Pessoas Isoladas,Média,181,Leve,Fácil,Barreiras naturais impedem saída de moradores.,Suporte Necessário
13,2025-05-09 04:49:27,-28.649154,-54.846424,Equipe de Campo,Incêndio,Baixa,67,Moderado,Bloqueado,"Fogo controlado por brigada local, mas danos registrados.",Suporte Necessário
14,2025-05-15 05:39:35,-10.429844,-43.232143,App Usuário,Pessoas Isoladas,Baixa,30,Moderado,Bloqueado,Barreiras naturais impedem saída de moradores.,Suporte Necessário
15,2025-05-25 20:27:25,-28.747662,-51.883544,Drone,Alagamento,Média,165,Severo,Bloqueado,Moradores relatam alagamento em vias principais.,Risco Imediato
16,2025-05-29 23:33:59,-6.62634,-41.023966,App Usuário,Incêndio,Alta,185,Nenhum,Bloqueado,Moradores evacuados devido à fumaça intensa.,Atenção Urgente
17,2025-06-04 12:24:04,-31.273229,-51.558502,Drone,Pessoas Isoladas,Média,183,Leve,Difícil,Barreiras naturais impedem saída de moradores.,Suporte Necessário
18,2025-05-22 16:40:15,-14.548568,-45.874346,App Usuário,Estrutura Danificada,Média,155,Severo,Fácil,Ponte apresenta rachaduras na base.,Atenção Urgente
19,2025-05-30 18:06:02,-19.574352,-41.270171,Drone,Estrutura Danificada,Alta,20,Moderado,Fácil,Queda de poste afeta fornecimento elétrico.,Suporte Necessário
20,2025-05-21 11:21:46,-10.236145,-47.55327,Equipe de Campo,Deslizamento,Média,6,Nenhum,Fácil,"Encosta cedeu parcialmente, risco de novos deslizamentos.",Monitorar
21,2025-05-14 11:08:02,-17.439853,-52.549227,App Usuário,Incêndio,Crítica,85,Nenhum,Difícil,Moradores evacuados devido à fumaça intensa.,Atenção Urgente
22,2025-05-18 12:37:30,-15.58994,-53.400203,Drone,Alagamento,Baixa,100,Severo,Bloqueado,Região com nível de água acima da calçada.,Atenção Urgente
23,2025-05-30 20:53:42,0.838969,-54.753788,Equipe de Campo,Deslizamento,Baixa,44,Severo,Fácil,Deslizamento atingiu parte de uma residência.,Monitorar
24,2025-05-29 11:15:52,-21.478642,-56.859086,Equipe de Campo,Deslizamento,Baixa,183,Nenhum,Fácil,"Encosta cedeu parcialmente, risco de novos deslizamentos.",Monitorar
25,2025-06-02 23:28:22,-8.14293,-39.366125,App Usuário,Estrutura Danificada,Média,161,Leve,Fácil,Ponte apresenta rachaduras na base.,Suporte Necessário
26,2025-06-05 10:56:07,-13.272029,-52.761762,Drone,Deslizamento,Crítica,20,Leve,Difícil,"Encosta cedeu parcialmente, risco de novos deslizamentos.",Suporte Necessário
27,2025-05-13 15:24:46,-17.165463,-53.724229,Equipe de Campo,Incêndio,Baixa,141,Nenhum,Bloqueado,"Fogo controlado por brigada local, mas danos registrados.",Suporte Necessário
28,2025-05-26 19:06:14,-8.159369,-41.791903,App Usuário,Alagamento,Alta,106,Nenhum,Bloqueado,Região com nível de água acima da calçada.,Atenção Urgente
29,2025-05-16 07:53:19,-12.241483,-54.037306,Drone,Estrutura Danificada,Crítica,43,Leve,Difícil,Queda de poste afeta fornecimento elétrico.,Suporte Necessário
30,2025-05-23 01:54:11,-12.247402,-38.208388,App Usuário,Pessoas Isoladas,Alta,71,Moderado,Fácil,Comunidade sem acesso após queda de ponte.,Suporte Necessário
31,2025-06-05 02:16:24,-3.549625,-54.532257,Equipe de Campo,Alagamento,Média,122,Severo,Fácil,Moradores relatam alagamento em vias principais.,Atenção Urgente
32,2025-05-15 10:26:30,2.159173,-52.035926,Equipe de Campo,Alagamento,Alta,162,Nenhum,Difícil,Água acumulada impede o tráfego de veículos.,Atenção Urgente
33,2025-05-12 21:16:57,-12.641607,-40.6714,Equipe de Campo,Alagamento,Alta,5,Moderado,Bloqueado,Água acumulada impede o tráfego de veículos.,Atenção Urgente
34,2025-06-01 07:28:00,-13.699525,-45.852781,App Usuário,Pessoas Isoladas,Média,94,Moderado,Fácil,Comunidade sem acesso após queda de ponte.,Suporte Necessário
35,2025-06-06 02:17:00,-23.172397,-46.197111,Equipe de Campo,Pessoas Isoladas,Alta,19,Moderado,Difícil,Barreiras naturais impedem saída de moradores.,Suporte Necessário
36,2025-05-30 00:21:56,-2.112448,-46.772062,Equipe de Campo,Deslizamento,Alta,26,Leve,Fácil,Deslizamento atingiu parte de uma residência.,Monitorar
37,2025-05-21 16:39:27,-5.404247,-70.359483,Drone,Alagamento,Baixa,147,Nenhum,Difícil,Moradores relatam alagamento em vias principais.,Suporte Necessário
38,2025-05-25 08:22:06,-11.613663,-59.263816,Drone,Alagamento,Baixa,7,Severo,Fácil,Moradores relatam alagamento em vias principais.,Monitorar
39,2025-05-14 23:05:08,-25.610191,-53.519115,Drone,Incêndio,Baixa,170,Nenhum,Difícil,Moradores evacuados devido à fumaça intensa.,Suporte Necessário
40,2025-05-23 04:04:55,-21.598935,-51.910637,Drone,Incêndio,Média,192,Severo,Bloqueado,"Fogo controlado por brigada local, mas danos registrados.",Risco Imediato
41,2025-05-14 01:36:47,-9.685372,-68.169795,Drone,Deslizamento,Alta,50,Leve,Fácil,Deslizamento atingiu parte de uma residência.,Monitorar
42,2025-05-17 08:24:49,-13.796098,-43.559601,Equipe de Campo,Deslizamento,Alta,39,Nenhum,Fácil,"Encosta cedeu parcialmente, risco de novos deslizamentos.",Monitorar
43,2025-05-28 08:38:09,-22.233682,-45.320219,Equipe de Campo,Estrutura Danificada,Alta,132,Severo,Fácil,Ponte apresenta rachaduras na base.,Atenção Urgente
44,2025-05-26 14:25:06,-2.481759,-48.408182,Drone,Incêndio,Crítica,27,Severo,Bloqueado,Moradores evacuados devido à fumaça intensa.,Risco Imediato
45,2025-05-13 13:18:37,-13.135543,-49.833436,App Usuário,Pessoas Isoladas,Baixa,94,Moderado,Difícil,Barreiras naturais impedem saída de moradores.,Suporte Necessário
46,2025-05-21 09:43:50,-18.984188,-51.011459,Equipe de Campo,Alagamento,Baixa,25,Nenhum,Fácil,Água acumulada impede o tráfego de veículos.,Monitorar
47,2025-06-02 03:51:29,-15.533592,-42.203458,Drone,Pessoas Isoladas,Crítica,103,Moderado,Difícil,Comunidade sem acesso após queda de ponte.,Risco Imediato
48,2025-05-15 10:23:17,-24.035654,-49.18822,App Usuário,Alagamento,Média,24,Leve,Difícil,Água acumulada impede o tráfego de veículos.,Monitorar
49,2025-05-29 08:21:45,-8.679007,-44.754639,Equipe de Campo,Alagamento,Baixa,156,Moderado,Difícil,Moradores relatam alagamento em vias principais.,Suporte Necessário
50,2025-06-03 11:37:27,-12.202778,-43.616415,App Usuário,Deslizamento,Alta,185,Severo,Bloqueado,Deslizamento atingiu parte de uma residência.,Risco Imediato
51,2025-05-29 23:49:39,1.927449,-51.1248,Drone,Estrutura Danificada,Baixa,93,Nenhum,Difícil,Prédio com estrutura comprometida após tremor.,Monitorar
52,2025-05-27 17:12:40,-8.063969,-72.548824,Equipe de Campo,Pessoas Isoladas,Crítica,132,Severo,Difícil,Comunidade sem acesso após queda de ponte.,Risco Imediato
53,2025-05-26 18:09:03,-15.369928,-48.218388,Equipe de Campo,Deslizamento,Média,37,Severo,Bloqueado,Deslizamento atingiu parte de uma residência.,Atenção Urgente
54,2025-05-12 07:29:18,-28.363388,-53.838223,Equipe de Campo,Incêndio,Baixa,27,Severo,Difícil,Incêndio em vegetação próximo a área urbana.,Suporte Necessário
55,2025-05-21 03:07:54,-5.822485,-54.593402,App Usuário,Incêndio,Alta,79,Leve,Bloqueado,Incêndio em vegetação próximo a área urbana.,Atenção Urgente
56,2025-06-02 16:42:18,-16.488681,-48.549712,Drone,Estrutura Danificada,Média,1,Leve,Difícil,Queda de poste afeta fornecimento elétrico.,Monitorar
57,2025-05-27 05:09:53,-11.525455,-40.439199,Equipe de Campo,Deslizamento,Baixa,21,Nenhum,Bloqueado,Área interditada após deslizamento de terra.,Monitorar
58,2025-05-09 04:24:15,-3.047999,-59.122964,App Usuário,Alagamento,Baixa,107,Nenhum,Bloqueado,Região com nível de água acima da calçada.,Suporte Necessário
59,2025-05-28 04:57:26,-0.490161,-53.226414,App Usuário,Pessoas Isoladas,Alta,103,Leve,Fácil,Comunidade sem acesso após queda de ponte.,Suporte Necessário
60,2025-05-14 17:14:11,-29.348642,-51.64949,Drone,Alagamento,Média,110,Moderado,Difícil,Moradores relatam alagamento em vias principais.,Atenção Urgente
61,2025-06-01 23:49:54,-12.063591,-43.771537,Drone,Incêndio,Média,22,Moderado,Bloqueado,Incêndio em vegetação próximo a área urbana.,Suporte Necessário
62,2025-05-08 04:10:43,-21.798179,-48.854866,App Usuário,Incêndio,Alta,188,Severo,Fácil,Incêndio em vegetação próximo a área urbana.,Atenção Urgente
63,2025-06-02 11:48:29,-16.811708,-47.833014,App Usuário,Estrutura Danificada,Alta,55,Leve,Fácil,Queda de poste afeta fornecimento elétrico.,Suporte Necessário
64,2025-06-01 15:37:28,-28.536683,-52.530619,App Usuário,Alagamento,Crítica,34,Nenhum,Difícil,Região com nível de água acima da calçada.,Suporte Necessário
65,2025-06-05 23:30:56,-3.869071,-40.936506,Equipe de Campo,Deslizamento,Baixa,106,Leve,Difícil,"Encosta cedeu parcialmente, risco de novos deslizamentos.",Suporte Necessário
66,2025-06-03 11:21:37,-25.620232,-52.245474,Drone,Deslizamento,Crítica,91,Nenhum,Difícil,Deslizamento atingiu parte de uma residência.,Atenção Urgente
67,2025-05-22 19:05:36,-6.757265,-66.984072,App Usuário,Incêndio,Crítica,74,Severo,Difícil,Moradores evacuados devido à fumaça intensa.,Risco Imediato
68,2025-05-23 15:20:17,-14.530721,-59.650252,Equipe de Campo,Deslizamento,Alta,151,Moderado,Bloqueado,Área interditada após deslizamento de terra.,Risco Imediato
69,2025-05-27 19:03:46,1.476208,-54.862103,Equipe de Campo,Deslizamento,Média,174,Moderado,Difícil,Deslizamento atingiu parte de uma residência.,Atenção Urgente
70,2025-05-20 00:59:15,-13.074048,-41.553833,Drone,Estrutura Danificada,Alta,100,Nenhum,Fácil,Queda de poste afeta fornecimento elétrico.,Suporte Necessário
71,2025-05-31 12:52:40,-5.588389,-40.067541,Drone,Alagamento,Alta,2,Leve,Fácil,Moradores relatam alagamento em vias principais.,Monitorar
72,2025-05-29 22:16:23,-19.824007,-41.026444,App Usuário,Pessoas Isoladas,Baixa,19,Nenhum,Fácil,Famílias ilhadas aguardam resgate.,Monitorar
