report_id,timestamp,latitude,longitude,source_type,observation_type,severity_reported,num_affected_estimate,infrastructure_damage,accessibility,additional_notes,AREA_RISK_CLASSIFICATION
1,2025-05-08 16:40:23,-21.762377,-53.784206,App Usuário,Alagamento,Baixa,196,Moderado,Fácil,Facere quibusdam aspernatur deserunt laborum.,Suporte Necessário
2,2025-05-07 16:04:09,-30.201242,-53.406053,Equipe de Campo,Alagamento,Alta,184,Leve,Difícil,Natus ratione maiores vel cumque quaerat optio iste rem nam nam consectetur.,Atenção Urgente
3,2025-05-27 01:41:52,-5.581846,-39.413045,App Usuário,Incêndio,Crítica,197,Leve,Fácil,Iusto fugit distinctio at.,Atenção Urgente
4,2025-05-07 17:11:16,-21.424896,-56.920149,App Usuário,Deslizamento,Média,49,Nenhum,Difícil,Labore dignissimos sed molestias occaecati velit laboriosam quas magnam.,Monitorar
5,2025-05-22 12:02:10,1.157343,-55.584833,App Usuário,Incêndio,Média,162,Nenhum,Difícil,Aut iure autem itaque a possimus.,Suporte Necessário
6,2025-05-19 10:12:52,-12.777018,-58.90008,Drone,Deslizamento,Crítica,140,Moderado,Difícil,Dolor temporibus mollitia vero culpa commodi expedita.,Risco Imediato
7,2025-05-06 11:08:07,-20.868397,-54.309056,Equipe de Campo,Pessoas Isoladas,Baixa,136,Nenhum,Bloqueado,Deserunt blanditiis nemo cupiditate.,Suporte Necessário
8,2025-05-30 16:33:32,-1.926369,-47.052163,App Usuário,Incêndio,Crítica,118,Severo,Difícil,Quibusdam omnis enim doloribus quo dolores.,Risco Imediato
9,2025-05-18 19:15:14,-9.065646,-48.310931,App Usuário,Alagamento,Crítica,170,Severo,Difícil,Voluptatum laborum quidem cumque voluptatem culpa id quisquam.,Risco Imediato
10,2025-06-02 05:43:26,-25.632198,-49.799659,App Usuário,Pessoas Isoladas,Baixa,58,Leve,Fácil,Aut adipisci consectetur earum labore.,Monitorar
11,2025-05-17 12:57:11,-3.831823,-59.145615,Equipe de Campo,Pessoas Isoladas,Baixa,9,Severo,Fácil,Nulla quod eius aspernatur eos perspiciatis laborum.,Monitorar
12,2025-05-18 01:02:37,-19.823292,-56.659284,Equipe de Campo,Alagamento,Alta,76,Moderado,Bloqueado,Porro facilis quidem dolorum dolores quibusdam at commodi itaque cum voluptates laborum.,Atenção Urgente
13,2025-05-24 09:15:05,-10.551821,-41.267547,Equipe de Campo,Incêndio,Baixa,124,Leve,Difícil,Quae eos est ex eligendi error vitae qui architecto animi quod.,Suporte Necessário
14,2025-05-19 16:04:26,-3.358708,-52.312625,Drone,Alagamento,Média,93,Leve,Fácil,Aperiam odit quod nemo voluptate at.,Monitorar
15,2025-05-17 21:00:59,-2.408607,-46.307426,App Usuário,Pessoas Isoladas,Crítica,101,Moderado,Fácil,Iusto cum in a.,Atenção Urgente
16,2025-05-22 20:29:10,-27.761408,-51.179435,Equipe de Campo,Deslizamento,Baixa,6,Severo,Fácil,Libero maiores voluptas optio necessitatibus unde accusamus.,Monitorar
17,2025-05-08 15:07:06,0.100978,-64.281759,Drone,Pessoas Isoladas,Baixa,80,Severo,Bloqueado,Eligendi possimus quo dignissimos sunt debitis cumque unde.,Atenção Urgente
18,2025-05-16 14:38:15,-8.00212,-59.261516,App Usuário,Pessoas Isoladas,Média,122,Severo,Fácil,Laborum enim aliquam occaecati.,Atenção Urgente
19,2025-05-11 05:07:04,1.664265,-69.321758,Drone,Deslizamento,Média,20,Moderado,Difícil,Voluptatem repellendus quas incidunt dignissimos ducimus.,Suporte Necessário
20,2025-05-28 20:49:49,-4.880097,-54.824641,Drone,Alagamento,Alta,124,Nenhum,Difícil,Cumque qui itaque saepe aliquam.,Atenção Urgente
21,2025-05-20 18:21:42,-15.554858,-57.69319,App Usuário,Pessoas Isoladas,Baixa,12,Leve,Bloqueado,Voluptatum iste officiis placeat repellendus similique amet eveniet corporis cum ipsum at et voluptate.,Monitorar
22,2025-05-11 20:58:35,-11.348782,-61.222467,Drone,Pessoas Isoladas,Crítica,41,Severo,Fácil,Sed aut sint exercitationem totam qui sunt.,Atenção Urgente
23,2025-05-12 14:12:15,-7.015074,-51.23071,Drone,Estrutura Danificada,Média,88,Nenhum,Bloqueado,Dolorem beatae laborum ducimus id placeat nemo vero eius quis.,Suporte Necessário
24,2025-05-15 09:48:57,-3.64365,-63.921058,App Usuário,Alagamento,Média,111,Severo,Difícil,Facere repellat neque totam nesciunt amet nobis dolore quo.,Atenção Urgente
25,2025-05-19 15:04:15,-4.209125,-55.970777,App Usuário,Incêndio,Baixa,56,Nenhum,Fácil,Cupiditate praesentium exercitationem eaque voluptate dolor.,Monitorar
26,2025-05-13 21:29:58,-13.331957,-47.575794,App Usuário,Estrutura Danificada,Média,188,Severo,Fácil,Mollitia pariatur alias quo doloribus fugit doloribus atque ex consequuntur corporis inventore.,Atenção Urgente
27,2025-06-02 06:32:16,-3.119747,-55.834694,Drone,Alagamento,Baixa,152,Nenhum,Bloqueado,At nisi necessitatibus sequi.,Suporte Necessário
28,2025-05-09 21:21:37,-3.568236,-69.176648,App Usuário,Alagamento,Média,86,Severo,Difícil,In dolor dolorem saepe nesciunt.,Atenção Urgente
29,2025-05-26 12:39:44,-5.542094,-54.778532,Equipe de Campo,Deslizamento,Alta,70,Moderado,Fácil,Doloremque excepturi ipsa at quo iusto.,Suporte Necessário
