id_zona,lat,lon,data_referencia,chuva_mm,temperatura_media,umidade_media,densidade_populacional,altitude_m,declividade_terreno,proximidade_curso_agua_km,tipo_solo,uso_solo,acessibilidade,atividade_sismica_recente,tipo_evento,ocorrencia_evento,risco_previsto,mes,estacao,regiao_brasil
Z_0001_CEN,-12.86759,-53.27449,2023-08-23,18.0,34.7,50.885867722067715,468.6,1106.0,6.9,2.2,latossolo,floresta,baixa,0,nenhum,0,MUITO BAIXO,8,inverno,CentroOeste_Cerrado_Pantanal
Z_0002_SUD,-18.99161,-40.68193,2024-05-02,281.1,24.7,92.8,4875.1,581.9,54.5,21.9,argiloso,urbano,alta,0,deslizamento,1,ALTO,5,outono,Sudeste_Montanhoso_Litoraneo
Z_0003_CEN,-18.80198,-56.07392,2024-12-28,147.4,37.5,51.5,347.0,1027.7,14.0,2.6,argiloso,pastagem,alta,0,incêndio,0,BAIXO,12,verao,CentroOeste_Cerrado_Pantanal
Z_0004_CEN,-7.72426,-46.35066,2024-09-27,173.0,18.4,59.2,232.4,854.6,19.1,7.6,latossolo,area_umida,alta,0,seca,0,BAIXO,9,primavera,CentroOeste_Cerrado_Pantanal
Z_0005_SUL,-28.72489,-53.90788,2023-06-25,240.3,25.4,56.1680941358414,3930.6,1778.0,14.0,18.5,arenoso_argiloso,pastagem,baixa,0,nenhum,0,MUITO BAIXO,6,inverno,Sul_Campos_Planalto
Z_0006_SUL,-26.28414,-57.15047,2023-01-10,115.1,20.5,74.0,4252.9,659.7,16.7,16.2,organico,rural,baixa,0,inundação,0,BAIXO,1,verao,Sul_Campos_Planalto
Z_0007_SUL,-32.19041,-48.49068,2023-11-13,248.7,31.3,87.8,442.7,778.2,17.7,4.1,organico,rural,media,0,vendaval,0,MÉDIO,11,primavera,Sul_Campos_Planalto
Z_0008_NOR,-4.03227,-64.9634,2024-10-17,287.7,32.8,74.9,3161.7,361.6,2.1,25.2,organico,rural,media,0,nenhum,0,MUITO BAIXO,10,primavera,Norte_Amazonia
Z_0009_NOR,-6.01013,-61.5415,2023-08-21,301.1,35.1,90.7,3380.5,489.5,2.8,9.3,organico,area_umida,baixa,1,inundação,0,MÉDIO,8,inverno,Norte_Amazonia
Z_0010_NOR,1.72219,-72.91076,2023-08-27,337.1,28.6,94.0,1093.9,343.4,2.6,47.8,argiloso,urbano,media,0,vendaval,0,BAIXO,8,inverno,Norte_Amazonia
